"","navn","ministerpost","parti","start","stop","dod","regering","r_start","r_stop","time","p_start","p_stop","early","regering_lower","Nr","Regeringsnavn","Fra","Parti(er)","Til","Kaldenavn","url_add"
"390","Th. Stauning"," Forsvarsminister fra 31.05.1933 "," (S)",1933-05-31,1933-05-31,"31.05.1933","Regeringen-Stauning-II",1929-04-30,NA,0,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"391","Peter Dahl"," Kirkeminister "," (S)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"392","Frederik Borgbjerg"," Undervisningsminister "," (S)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"393","C. Th. Zahle"," Justitsminister "," (R)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"394","Bertel Dahlgaard"," Indenrigsminister "," (R)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"395","J. Friis-Skotte"," Minister for offentlige arbejder ( Trafikminister) "," (S)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"396","Kristen Bording"," Landbrugsminister "," (S)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"397","C.N.Hauge"," Minister for industri og handel (Handelsminister) "," (S)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"398","Th. Stauning"," Minister for søfart og fiskeri til 31.05.1933 "," (S)",1929-04-30,1933-05-31,"31.05.1933","Regeringen-Stauning-II",1929-04-30,NA,4.08493150684922,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"399","C. N. Hauge"," Minister for søfart og fiskeri ad interim "," (S)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"400","K. K. Steincke"," Socialminister"," (S)",1929-04-30,NA,"","Regeringen-Stauning-II",1929-04-30,NA,NA,1929-04-30,NA,NA,"regeringen-stauning-ii",35,"Regeringen Thorvald Stauning II","30. april 1929","Socialdemokratiet og Det Radikale Venstre","4. november 1935 (6 år og 188 dage)","Ministeriet Stauning-Munch","Regeringen-Stauning-II"
"401","Th. Stauning"," Statsminister  og "," (S)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"402","P. Munch"," Udenrigsminister  og "," (R)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"403","H. P. Hansen"," Finansminister til 20.07.1937  og "," (S)",1935-11-04,1937-07-20,"20.07.1937","Regeringen-Stauning-III",1935-11-04,NA,1.70684931506844,1935-11-04,1937-07-20,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"404","Vilhelm Buhl"," Finansminister fra 20.07.1937  og "," (S)",1937-07-20,1937-07-20,"20.07.1937","Regeringen-Stauning-III",1935-11-04,NA,0,1937-07-20,1937-07-20,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"405","Alsing Andersen","Forsvarsminister  og "," (S)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"406","Johannes Hansen"," Kirkeminister  og "," (S)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"407","Jørgen Jørgensen"," Undervisningsminister  og "," (R)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"408","K. K. Steincke"," Justitsminister  og "," (S)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"409","Bertel Dahlgaard"," Indenrigsminister  og "," (R)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"410","N. Fisker"," Minister for offentlige arbejder ( Trafikminister)  og "," (S)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"411","Kristen Bording"," Landbrugsminister fra 09.11.1935 Minister for landbrug og fiskeri  og "," (S)",1935-11-09,1935-11-09,"09.11.1935","Regeringen-Stauning-III",1935-11-04,NA,0,1935-11-09,1935-11-09,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"412","Johs. Kjærbøl"," Minister for industri og  handel og søfart "," (S)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"413","Ludvig Christensen"," Socialminister og "," (S)",1935-11-04,NA,"","Regeringen-Stauning-III",1935-11-04,NA,NA,1935-11-04,NA,NA,"regeringen-stauning-iii",36,"Regeringen Thorvald Stauning III","4. november 1935","Socialdemokratiet og Det Radikale Venstre","15. september 1939 (3 år og 315 dage)","","Regeringen-Stauning-III"
"414","Th. Stauning"," Statsminister  og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"415","P. Munch"," Udenrigsminister  og "," (R)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"416","Vilhelm Buhl"," Finansminister  og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"417","Alsing Andersen"," Forsvarsminister  og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"418","Jørgen Jørgensen"," Undervisningsminister  og "," (R)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"419","S. Unmack Larsen"," Justitsminister  og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"420","Axel Sørensen"," Minister for offentlige arbejder  og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"421","Kristen Bording"," Minister for landbrug og fiskeri (Landbrugsminister)  og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"422","Johs. Kjærbøl"," Minister for handel og  industri og søfart (Handelsminister) "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"423","Bertel Dalgaard"," Indenrigsminister  og "," (R)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"424","Johs. Hansen"," Kirkeminister  og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"425","Ludvig Christensen"," Socialminister og "," (S)",1939-09-15,1940-04-10,NA,"Regeringen-Stauning-IV",1939-09-15,1940-04-10,0.569114454674718,1939-09-15,1940-04-10,0,"regeringen-stauning-iv",37,"Regeringen Thorvald Stauning IV","15. september 1939","Socialdemokratiet og Det Radikale Venstre","10. april 1940 (0 år og 208 dage)","","Regeringen-Stauning-IV"
"426","Th. Stauning"," Statsminister  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"427","Vilhelm Buhl"," Finansminister  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"428","Jørgen Jørgensen"," Undervisningsminister  og "," (R)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"429","Kristen Bording"," Minister for landbrug og fiskeri (Landbrugsminister)  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"430","Johs. Kjærbøl"," Minister for handel og  industri og søfart (Handelsminister) "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"431","Johs. Hansen"," Kirkeminister  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"432","P. Munch"," Udenrigsminister  og "," (R)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"433","Bertel Dalgaard"," Indenrigsminister  og "," (R)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"434","Aksel Sørensen"," Trafikminister  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"435","Ludvig Christensen"," Socialminister  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"436","Alsing Andersen"," Forsvarsminister  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"437","S. Unmack Larsen"," Justitsminister  og "," (S)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"438","Søren Brorsen"," Minister uden portefølje  og "," (V)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"439","Oluf Krag"," Minister uden portefølje  og "," (V)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"440","Henrik Hauch"," Minister uden portefølje  og "," (V)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"441","Henning Hasle"," Minister uden portefølje  og "," (KF)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"442","J. Christmas Møller"," Minister uden portefølje  og "," (KF)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"443","Vilhelm Fibiger"," Minister uden portefølje og "," (KF)",1940-04-10,1940-07-08,NA,"Regeringen-Stauning-V",1940-04-10,1940-07-08,0.243169398907185,1940-04-10,1940-07-08,0,"regeringen-stauning-v",38,"Regeringen Thorvald Stauning V","10. april 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","8. juli 1940 (0 år og 89 dage)","","Regeringen-Stauning-V"
"444","Th. Stauning"," Statsminister † 03.05.1942  og "," (S)",1940-07-08,1942-05-03,"03.05.1942","Regeringen-Stauning-VI",1940-07-08,NA,1.81785313271939,1940-07-08,1942-05-03,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"445","Erik Scavenius"," Udenrigsminister  og "," (u.p.)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"446","Vilhelm Buhl"," Finansminister  og "," (S)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"447","Søren Brorsen"," Forsvarsminister  og "," (V)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"448","Vilhelm Fibiger"," Kirkeminister  og "," (KF)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"449","Jørgen Jørgensen"," Undervisningsminister  og "," (R)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"450","Harald Petersen"," Justitsminister til 09.07.1941  og "," (u.p.)",1940-07-08,1941-07-09,"09.07.1941","Regeringen-Stauning-VI",1940-07-08,NA,1.00141477655507,1940-07-08,1941-07-09,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"451","E. ThuneJacobsen"," Justitsminister fra 09.07.1941  og "," (u.p.)",1941-07-09,1941-07-09,"09.07.1941","Regeringen-Stauning-VI",1940-07-08,NA,0,1941-07-09,1941-07-09,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"452","Knud Kristensen"," Indenrigsminister  og "," (V)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"453","Gunnar Larsen"," Minister for offentlige arbejder  og "," (u.p.)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"454","Kristen Bording"," Minister for landbrug og fiskeri (Landbrugsminister)  og "," (S)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"455","J. Christmas Møller"," Minister for handel og  industri og søfart (Handelsminister) til 03.10.1940 "," (KF)",1940-07-08,1940-10-03,"03.10.1940","Regeringen-Stauning-VI",1940-07-08,NA,0.237704918032705,1940-07-08,1940-10-03,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"456","Halfdan Hendriksen"," Minister for handel og  industri og søfart (Handelsminister) fra 03.10.1940 "," (KF)",1940-10-03,1940-10-03,"03.10.1940","Regeringen-Stauning-VI",1940-07-08,NA,0,1940-10-03,1940-10-03,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
"457","Johs. Kjærbøl"," Arbejds- og socialminister og "," (S)",1940-07-08,NA,"","Regeringen-Stauning-VI",1940-07-08,NA,NA,1940-07-08,NA,NA,"regeringen-stauning-vi",39,"Regeringen Thorvald Stauning VI","8. juli 1940","Samlingsregering: Socialdemokratiet, Venstre, Det Konservative Folkeparti og Det Radikale Venstre","4. maj 1942 (1 år og 300 dage)","","Regeringen-Stauning-VI"
